tree
version=v4
num_class=1
num_tree_per_iteration=1
label_index=0
max_feature_idx=27
objective=lambdarank
feature_names=num_q_terms num_q_unique num_d_terms num_d_unique min_q_idf max_q_idf sum_q_idf min_d_idf max_d_idf sum_d_idf overlap bm25_score q_avg_phi_norm q_phi_norm_min q_phi_norm_max q_phi_pair_min_sim q_phi_pair_max_sim q_phi_pair_avg_sim d_avg_phi_norm d_phi_norm_min d_phi_norm_max d_phi_pair_min_sim d_phi_pair_max_sim d_phi_pair_avg_sim qd_phi_single_link_sim qd_phi_complete_link_sim qd_phi_avg_link_sim qd_theta_cos_sim
feature_infos=[1:48] [1:44] [1:48] [1:44] [0:9.1491683662819181] [2.301163091705555:9.1491683662819181] [4.4952080161243941:250.73192453885054] [0:9.1491683662819181] [2.301163091705555:9.1491683662819181] [5.853331500277589:250.73192453885054] [0:13] [0:56.058186069562765] [0.14142134785652161:0.51478099822998047] [0.14142134785652161:0.51478099822998047] [0.14142134785652161:0.877674400806427] [0:1.0000001192092896] [0:1.0000004768371582] [0:1.0000001192092896] [0.14142134785652161:0.51477944850921631] [0.14142134785652161:0.51478034257888794] [0.14142134785652161:0.877674400806427] [0:1.0000001192092896] [0:1.0000004768371582] [0:1.0000001192092896] [0.0071704434230923653:0.27474692463874817] [0.056604381650686264:1.0000004768371582] [0.046064641326665878:0.63736110925674438] [0:1]
tree_sizes=3522

Tree=0
num_leaves=31
num_cat=0
split_feature=9 11 12 21 9 11 9 21 23 23 23 19 15 9 14 19 14 11 11 9 14 7 21 19 21 21 9 21 9 9
split_gain=272.751 73.2284 65.6573 61.7516 49.4368 26.8302 20.7914 39.3806 35.5597 22.0899 21.7286 33.0434 20.5622 17.3351 15.7229 14.3413 14.1584 13.5296 12.7349 12.0642 11.7009 11.5856 11.2038 15.4266 15.8437 12.9003 14.3312 19.376 19.3689 17.7687
threshold=68.501249092826143 13.158358017173756 0.20844533294439319 0.0087232538498938101 32.511490404794202 7.9531434533495489 113.1191855692792 0.056603940203785903 0.11816841363906862 0.14127800613641742 0.095971103757619872 0.51462170481681835 0.024390627630054954 109.50986861127834 0.67494753003120433 0.51471224427223217 0.67494681477546703 21.702505852245135 7.5738751704656826 114.67298834253879 0.67494538426399242 1.7116767211890143 0.032127359881997115 0.51472368836402904 0.024390312843024734 0.056603940203785903 94.333145334661666 0.053610941395163543 92.02700102960037 99.204954057750413
decision_type=2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
left_child=2 3 4 -2 16 20 10 14 19 -10 11 -5 -6 21 -8 -15 -1 -3 -14 -9 -4 22 23 24 -12 26 28 -28 -24 -29
right_child=1 17 5 6 12 -7 7 8 9 -11 13 -13 18 15 -16 -17 -18 -19 -20 -21 -22 -23 25 -25 -26 -27 27 29 -30 -31
leaf_value=-0.0063819899019988561 0.017290347901891281 0.0042248877274187312 -0.0012942991048207886 -0.0041060608928249788 -0.0063065909027174563 0.0026133829138431188 -0.00020116416699634488 0.013102617930619549 0.014298769835236501 0.0018675565740086514 0.00076819141029258993 0.00064223755942158364 -0.0037611856433142814 -0.0059770939398753721 0.0023101836858298976 0.0099269361836998235 -0.01219717138182419 0.0084623639468755368 -0.00025025728288446459 -0.0047429120767791509 -0.0039778819397831826 -0.0025294963653820692 0.0025377254857792005 0.0056546295331276345 -0.0044637167564703832 4.2621784715185752e-05 0.0036074061775077828 0.015834693052556862 -0.0070563440288262296 0.0013663382179580075
leaf_weight=70.945570673793554 23.093866899609566 505.36405083164573 640.60068247467279 253.00156383961439 233.61657702922821 149.66634227707982 409.60678995028138 4.5115546137094524 58.267907809466124 18.941102415323257 182.18394685536623 348.34639266133308 342.35238688439131 52.844100877642632 636.9847276173532 6.3513530790805808 102.15576560422778 88.550346005707979 147.9631454795599 23.628739688545465 217.68965126574039 73.994534157216549 301.59086514264345 41.57269361615181 84.833180245012045 187.39357940107584 136.6831205226481 28.267818171530962 22.620919417589903 12.1308361813426
leaf_count=963 158 5970 8343 3553 3259 1749 5338 45 497 256 2305 4499 4666 783 7970 62 1480 918 1833 330 2922 1023 3748 495 1165 2438 1642 213 322 165
internal_value=0 0.00165699 -0.00304502 0.00100324 -0.00501296 -0.00129364 0.000872812 0.00191393 0.00774165 0.0112491 0.0001803 -0.00135549 -0.00386501 0.000997256 0.00132731 -0.00427068 -0.00981382 0.00485668 -0.00270169 -0.00188185 -0.00197494 0.00128835 0.00157162 -1.17987e-05 -0.000894022 0.00228112 0.00311792 0.00540574 0.00186833 0.0114902
internal_weight=0 3500.76 1904.99 2906.85 897.033 1007.96 2883.76 1151.94 105.349 77.209 1731.81 601.348 723.932 1130.47 1046.59 59.1955 173.101 593.914 490.316 28.1403 858.29 1071.27 997.277 308.59 267.017 688.687 501.294 177.082 324.212 40.3987
internal_count=69110 43895 25215 37007 12201 13014 36849 14436 1128 753 22413 8052 9758 14361 13308 845 2443 6888 6499 375 11265 13516 12493 3965 3470 8528 6090 2020 4070 378
is_linear=0
shrinkage=0.01


end of trees

feature_importances:
sum_d_idf=8
d_phi_pair_min_sim=6
bm25_score=4
q_phi_norm_max=3
d_phi_norm_min=3
d_phi_pair_avg_sim=3
min_d_idf=1
q_avg_phi_norm=1
q_phi_pair_min_sim=1

parameters:
[boosting: gbdt]
[objective: lambdarank]
[metric: ndcg]
[tree_learner: serial]
[device_type: cpu]
[data_sample_strategy: bagging]
[data: ]
[valid: ]
[num_iterations: 1000]
[learning_rate: 0.01]
[num_leaves: 31]
[num_threads: 0]
[seed: 0]
[deterministic: 0]
[force_col_wise: 0]
[force_row_wise: 0]
[histogram_pool_size: -1]
[max_depth: -1]
[min_data_in_leaf: 20]
[min_sum_hessian_in_leaf: 0.001]
[bagging_fraction: 1]
[pos_bagging_fraction: 1]
[neg_bagging_fraction: 1]
[bagging_freq: 0]
[bagging_seed: 3]
[feature_fraction: 1]
[feature_fraction_bynode: 1]
[feature_fraction_seed: 2]
[extra_trees: 0]
[extra_seed: 6]
[early_stopping_round: 0]
[early_stopping_min_delta: 0]
[first_metric_only: 0]
[max_delta_step: 0]
[lambda_l1: 0]
[lambda_l2: 0]
[linear_lambda: 0]
[min_gain_to_split: 0]
[drop_rate: 0.1]
[max_drop: 50]
[skip_drop: 0.5]
[xgboost_dart_mode: 0]
[uniform_drop: 0]
[drop_seed: 4]
[top_rate: 0.2]
[other_rate: 0.1]
[min_data_per_group: 100]
[max_cat_threshold: 32]
[cat_l2: 10]
[cat_smooth: 10]
[max_cat_to_onehot: 4]
[top_k: 20]
[monotone_constraints: ]
[monotone_constraints_method: basic]
[monotone_penalty: 0]
[feature_contri: ]
[forcedsplits_filename: ]
[refit_decay_rate: 0.9]
[cegb_tradeoff: 1]
[cegb_penalty_split: 0]
[cegb_penalty_feature_lazy: ]
[cegb_penalty_feature_coupled: ]
[path_smooth: 0]
[interaction_constraints: ]
[verbosity: -1]
[saved_feature_importance_type: 0]
[use_quantized_grad: 0]
[num_grad_quant_bins: 4]
[quant_train_renew_leaf: 0]
[stochastic_rounding: 1]
[linear_tree: 0]
[max_bin: 255]
[max_bin_by_feature: ]
[min_data_in_bin: 3]
[bin_construct_sample_cnt: 200000]
[data_random_seed: 1]
[is_enable_sparse: 1]
[enable_bundle: 1]
[use_missing: 1]
[zero_as_missing: 0]
[feature_pre_filter: 1]
[pre_partition: 0]
[two_round: 0]
[header: 0]
[label_column: ]
[weight_column: ]
[group_column: ]
[ignore_column: ]
[categorical_feature: ]
[forcedbins_filename: ]
[precise_float_parser: 0]
[parser_config_file: ]
[objective_seed: 5]
[num_class: 1]
[is_unbalance: 0]
[scale_pos_weight: 1]
[sigmoid: 1]
[boost_from_average: 1]
[reg_sqrt: 0]
[alpha: 0.9]
[fair_c: 1]
[poisson_max_delta_step: 0.7]
[tweedie_variance_power: 1.5]
[lambdarank_truncation_level: 30]
[lambdarank_norm: 1]
[label_gain: 0,1,2,3,4,5,6,7,8,9]
[lambdarank_position_bias_regularization: 0]
[eval_at: 1,3,5]
[multi_error_top_k: 1]
[auc_mu_weights: ]
[num_machines: 1]
[local_listen_port: 12400]
[time_out: 120]
[machine_list_filename: ]
[machines: ]
[gpu_platform_id: -1]
[gpu_device_id: -1]
[gpu_use_dp: 0]
[num_gpu: 1]

end of parameters

pandas_categorical:[]
